,taxonomy,host-associated,unknown function,tail,DNA,transcription regulation,head and packaging,lysis,moron,integration and excision,auxiliary metabolic gene and host takeover,other,RNA and nucleotide metabolism,connector,vf_amr
3300003140_4|3300003140.a:Ga0051081_1002331,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum,True,12,4,1,0,1,2,0,0,0,0,1,4,0
3300003140_4|3300003140.a:Ga0051081_1002366,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum,True,30,4,6,2,4,0,0,1,0,1,6,2,0
3300003140_4|3300003140.a:Ga0051081_1002385,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum,True,45,3,6,3,6,2,2,1,2,1,6,3,0
3300003146_10|3300003146.a:Ga0051080_1009417,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__DTU089;g__Ruminococcus_E;s__Ruminococcus_E bromii,True,40,4,3,0,4,0,0,0,0,3,3,0,0
3300003146_8|3300003146.a:Ga0051080_1000042,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__,True,18,0,0,1,1,0,0,0,0,1,0,0,0
3300003155_20|3300003155.a:Ga0052270_10307324,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter jejuni,False,34,0,1,0,3,0,1,0,1,0,1,1,0
3300003155_8|3300003155.a:Ga0052270_10307401,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__Megamonas hypermegale_A,False,83,9,6,7,12,2,6,2,6,1,6,2,0
3300003155_9|3300003155.a:Ga0052270_10012172,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__GCA_002315015.1,False,21,2,0,1,4,2,1,0,1,1,0,0,0
3300003281_8|3300003281.a:Y607_1006255,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__GCA_002352205.1,False,38,0,1,1,4,2,0,1,0,0,1,0,0
3300004625_2|3300004625.a:Ga0055543_1000363,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Ensifer;s__GCF_001429285.1,True,28,0,2,1,4,0,0,2,0,0,2,0,0
3300004625_2|3300004625.a:Ga0055543_1000437,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Ensifer;s__GCF_001429285.1,True,14,0,0,0,1,1,0,0,0,0,0,0,0
3300004628_13|3300004628.a:Ga0070399_1000293,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Stomatobaculum;s__,False,8,0,1,1,0,0,0,1,0,0,1,0,0
3300004628_31|3300004628.a:Ga0070399_1000288,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__;s__,False,5,0,2,2,0,1,0,0,0,0,2,0,0
3300004628_40|3300004628.a:Ga0070399_1000050,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__P3;g__;s__,False,46,4,3,2,4,1,0,3,0,2,3,2,0
3300005262_10|3300005262.a:Ga0065165_1000438,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Pseudoduganella;s__,True,45,6,3,3,5,1,1,1,1,2,3,4,0
3300005262_9|3300005262.a:Ga0065165_1000389,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Ensifer;s__GCF_001429285.1,True,61,6,3,1,5,3,1,2,1,0,3,3,0
3300005279_11|3300005279.a:Ga0065709_1005924,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_Q;s__,False,27,2,6,1,4,0,0,1,0,0,6,4,0
3300005279_13|3300005279.a:Ga0065709_1005889,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Saccharofermentanales;f__Saccharofermentanaceae;g__Saccharofermentans;s__,False,45,2,10,5,7,1,0,1,0,0,10,2,0
3300005279_8|3300005279.a:Ga0065709_1029205,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Saccharofermentanales;f__Saccharofermentanaceae;g__Saccharofermentans;s__,False,29,2,6,1,6,0,0,0,0,0,6,1,0
3300005279_8|3300005279.a:Ga0065709_1029310,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Saccharofermentanales;f__Saccharofermentanaceae;g__Saccharofermentans;s__,False,16,0,7,0,0,0,0,0,0,0,7,0,0
3300005286_15|3300005286.a:Ga0065721_10003590,d__Bacteria;p__Firmicutes;c__Bacilli_A;o__Brevibacillales;f__Brevibacillaceae;g__Brevibacillus;s__Brevibacillus parabrevis,False,75,0,0,0,3,0,1,1,1,2,0,0,0
3300005286_15|3300005286.a:Ga0065721_10003777,d__Bacteria;p__Firmicutes;c__Bacilli_A;o__Brevibacillales;f__Brevibacillaceae;g__Brevibacillus;s__Brevibacillus parabrevis,False,16,7,0,0,0,3,0,0,0,0,0,0,0
3300005286_15|3300005286.a:Ga0065721_10048664,d__Bacteria;p__Firmicutes;c__Bacilli_A;o__Brevibacillales;f__Brevibacillaceae;g__Brevibacillus;s__Brevibacillus parabrevis,False,66,8,5,2,7,3,0,1,0,1,5,3,0
3300005286_43|3300005286.a:Ga0065721_10048801,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__;s__,False,35,7,7,3,7,2,0,2,0,1,7,4,0
3300005287_11|3300005287.a:Ga0065711_1036641,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Saccharofermentanales;f__Saccharofermentanaceae;g__Saccharofermentans;s__,False,7,0,6,0,0,0,0,0,0,0,6,0,0
3300005287_17|3300005287.a:Ga0065711_1000179,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Saccharofermentanales;f__Saccharofermentanaceae;g__Saccharofermentans;s__,False,57,2,11,6,7,1,0,2,0,0,11,2,0
3300005289_6|3300005289.a:Ga0065704_10000234,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__,True,51,3,3,1,6,1,0,1,0,1,3,3,0
3300005326_12|3300005326.a:Ga0074195_1004711,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter braakii,False,5,0,3,2,0,0,1,1,1,0,3,0,0
3300005326_12|3300005326.a:Ga0074195_1007744,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter braakii,False,9,0,0,0,2,0,0,0,0,0,0,0,0
3300005326_15|3300005326.a:Ga0074195_1000045,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Desulfobulbus;s__,False,19,0,3,0,2,0,3,1,3,0,3,0,0
3300005460_18|3300005460.a:Ga0073908_1002654,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-1031;s__GCA_002494015.1,True,11,1,0,0,0,0,0,1,0,0,0,0,0
3300005460_20|3300005460.a:Ga0073908_1001104,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__,True,35,8,2,0,4,1,0,0,0,0,2,2,0
3300005460_26|3300005460.a:Ga0073908_1000358,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__GCA_001689415.1,True,41,2,4,1,2,1,0,2,0,3,4,2,0
3300005460_27|3300005460.a:Ga0073908_1000148,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila_A,True,43,1,0,1,3,1,1,0,1,3,0,1,0
3300005460_27|3300005460.a:Ga0073908_1000152,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila_A,True,14,11,1,0,6,0,0,0,0,2,1,2,0
3300005460_27|3300005460.a:Ga0073908_1000248,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila_A,True,36,1,1,2,3,1,0,2,0,1,1,0,0
3300005460_27|3300005460.a:Ga0073908_1000269,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila_A,True,34,2,4,1,1,0,0,0,0,1,4,0,0
3300005460_8|3300005460.a:Ga0073908_1001013,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli,True,9,0,2,1,0,0,1,2,1,3,2,0,0
3300005460_8|3300005460.a:Ga0073908_1005337,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli,True,9,0,4,2,0,0,2,0,2,0,4,0,0
3300005466_12|3300005466.a:Ga0070685_10000008,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Spongiibacteraceae;g__;s__,False,10,0,1,1,2,0,0,0,0,0,1,0,0
3300005529_36|3300005529.a:Ga0070741_10000015,d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__;f__;g__;s__,False,68,1,6,1,2,1,0,1,0,1,6,0,0
3300005536_15|3300005536.a:Ga0070697_100000124,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__;s__,False,36,0,0,1,1,0,0,0,0,0,0,0,0
3300005562_10|3300005562.a:Ga0058697_10000043,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides,True,25,4,3,3,7,2,0,0,0,2,3,3,0
3300005562_10|3300005562.a:Ga0058697_10000112,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides,True,25,7,3,2,5,2,1,0,1,2,3,3,0
3300005661_7|3300005661.a:Ga0058698_10000030,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__,True,26,9,3,2,5,4,4,2,4,0,3,3,0
3300005985_18|3300005985.a:Ga0081539_10000051,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__,True,79,4,1,0,5,1,0,0,0,1,1,0,0
3300006001_5|3300006001.a:Ga0081606_1000004,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__46-32;s__,False,58,1,0,1,2,0,2,1,2,0,0,0,0
3300006020_6|3300006020.a:Ga0058704_10000017,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium;s__GCA_002778835.1,True,37,0,3,2,5,0,0,1,0,2,3,0,0
3300006020_8|3300006020.a:Ga0058704_10001734,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__,True,5,1,2,0,0,0,2,1,2,1,2,0,0
3300006045_135|3300006045.a:Ga0082212_10000907,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__Rs-D84;g__;s__,True,12,3,0,0,2,0,0,0,0,1,0,0,0
3300006045_74|3300006045.a:Ga0082212_10001143,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__,True,12,5,0,0,2,1,0,0,0,0,0,0,0
3300006045_74|3300006045.a:Ga0082212_10001239,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__,True,14,3,1,0,5,2,3,1,3,0,1,2,0
3300006045_94|3300006045.a:Ga0082212_10000032,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__;s__,True,29,6,5,2,6,0,0,1,0,1,5,3,0
3300006102_6|3300006102.a:Ga0075015_100000110,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__;s__,False,15,0,0,0,1,0,0,0,0,0,0,1,0
3300006176_16|3300006176.a:Ga0070765_100000012,d__Bacteria;p__UBP12;c__UBA5184;o__UBA5184;f__UBA5184;g__;s__,False,65,1,3,1,1,0,0,1,0,0,3,0,0
3300006177_7|3300006177.a:Ga0075362_10000007,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__,True,48,5,4,2,5,1,0,1,0,3,4,3,0
3300006192_10|3300006192.a:Ga0075011_10000454,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__,False,5,3,0,0,3,0,0,0,0,0,0,0,0
3300006192_10|3300006192.a:Ga0075011_10001082,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__,False,7,3,0,0,0,1,0,0,0,1,0,1,0
3300006226_103|3300006226.a:Ga0099364_10008337,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__,True,10,4,0,0,2,1,0,0,0,0,0,0,0
3300006226_44|3300006226.a:Ga0099364_10006809,d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;f__;g__;s__,True,10,0,0,0,0,0,0,0,0,1,0,0,0
3300006226_46|3300006226.a:Ga0099364_10000891,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__,True,18,0,0,0,0,0,4,0,4,4,0,0,0
3300006226_46|3300006226.a:Ga0099364_10001034,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__,True,8,0,5,0,0,0,0,0,0,0,5,0,0
3300006226_61|3300006226.a:Ga0099364_10000062,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__,True,58,7,6,4,5,5,4,1,4,1,6,1,0
3300006226_78|3300006226.a:Ga0099364_10001467,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Rhodocyclaceae;g__;s__,True,14,8,0,0,6,0,2,0,2,1,0,2,0
3300006226_79|3300006226.a:Ga0099364_10000001,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__,True,28,2,0,1,4,1,0,0,0,0,0,2,0
3300006226_79|3300006226.a:Ga0099364_10000182,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__,True,12,0,1,1,0,0,1,1,1,0,1,0,0
3300006226_82|3300006226.a:Ga0099364_10000060,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__,True,15,1,1,0,2,0,0,0,0,0,1,0,0
3300006226_82|3300006226.a:Ga0099364_10001913,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__,True,9,3,1,0,0,1,0,0,0,0,1,0,0
3300006226_82|3300006226.a:Ga0099364_10011021,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__,True,9,0,0,0,1,0,1,0,1,0,0,0,0
3300006238_1|3300006238.a:Ga0099555_10013,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,True,6,0,3,0,0,0,3,0,3,0,3,0,0
3300006238_2|3300006238.a:Ga0099555_10005,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus iners,True,20,2,0,0,1,2,0,0,0,0,0,0,0
3300006243_4|3300006243.a:Ga0099348_100002,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__UBA7623;s__,True,34,4,3,2,4,1,0,2,0,1,3,2,0
3300006246_1|3300006246.a:Ga0099370_100004,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__,True,43,3,6,2,7,3,1,1,1,4,6,3,0
3300006247_15|3300006247.a:Ga0099374_1000013,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__,True,9,0,0,0,0,0,0,2,0,0,0,0,0
3300006247_15|3300006247.a:Ga0099374_1000018,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__,True,21,9,4,4,5,4,0,0,0,0,4,4,0
3300006247_15|3300006247.a:Ga0099374_1000028,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__,True,46,7,9,6,11,4,0,1,0,2,9,1,0
3300006248_2|3300006248.a:Ga0099387_100003,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__Haemophilus_D parainfluenzae,True,28,10,7,4,5,4,0,0,0,2,7,4,0
3300006248_2|3300006248.a:Ga0099387_100006,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__Haemophilus_D parainfluenzae,True,24,12,1,3,7,3,1,2,1,0,1,3,0
3300006250_15|3300006250.a:Ga0099391_100074,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__,True,34,11,6,6,7,2,0,0,0,1,6,3,0
3300006253_18|3300006253.a:Ga0099372_1000036,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__,True,32,0,8,4,6,1,4,1,4,3,8,0,0
3300006253_18|3300006253.a:Ga0099372_1000270,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__,True,20,4,1,5,4,1,0,0,0,1,1,4,0
3300006256_11|3300006256.a:Ga0099352_1000018,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella pallens,True,36,0,4,2,0,1,1,0,1,1,4,0,0
3300006257_9|3300006257.a:Ga0099346_100011,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis,True,81,10,4,1,8,2,3,3,3,7,4,5,0
3300006257_9|3300006257.a:Ga0099346_100022,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis,True,53,6,2,3,5,1,0,2,0,3,2,2,0
